1960/61	Ibrox Park / Stadio Comunale	Glasgow / Florenz	Italien AC Florenz	2:0 / 2:1	Schottland Glasgow Rangers
1961/62	Hampden Park / Neckarstadion	Glasgow / Stuttgart	Spanien Atlético Madrid	1:1 n.V. / 3:0 (WS)	Italien AC Florenz
1962/63	De Kuip	Rotterdam	England Tottenham Hotspur	5:1	Spanien Atlético Madrid
1963/64	Heysel-Stadion / Bosuilstadion	Brüssel / Antwerpen	Portugal Sporting Lissabon	3:3 n.V. / 1:0 (WS)	Ungarn MTK Budapest
1964/65	Wembley-Stadion	London	England West Ham United	2:0	Deutschland TSV 1860 München
1965/66	Hampden Park	Glasgow	Deutschland Borussia Dortmund	2:1 n.V.	England FC Liverpool
1966/67	Städtisches Stadion	Nürnberg	Deutschland FC Bayern München	1:0 n.V.	Schottland Glasgow Rangers
1967/68	De Kuip	Rotterdam	Italien AC Mailand	2:0	Deutschland Hamburger SV
1968/69	St. Jakob-Stadion	Basel	Tschechoslowakei ŠK Slovan Bratislava	3:2	Spanien FC Barcelona
1969/70	Praterstadion	Wien	England Manchester City	2:1	Polen Górnik Zabrze
1970/71	Karaiskakis-Stadion	Piräus	England FC Chelsea	1:1 n.V. / 2:1 (WS)	Spanien Real Madrid
1971/72	Camp Nou	Barcelona	Schottland Glasgow Rangers	3:2	Sowjetunion FK Dynamo Moskau
1972/73	Kaftanzoglio-Stadion	Thessaloniki	Italien AC Mailand	1:0	England Leeds United
1973/74	De Kuip	Rotterdam	DDR 1. FC Magdeburg	2:0	Italien AC Mailand
1974/75	St. Jakob-Stadion	Basel	Sowjetunion Dynamo Kiew	3:0	Ungarn Ferencváros Budapest
1975/76	Heysel-Stadion	Brüssel	Belgien RSC Anderlecht	4:2	England West Ham United
1976/77	Olympiastadion	Amsterdam	Deutschland Hamburger SV	2:0	Belgien RSC Anderlecht
1977/78	Prinzenpark	Paris	Belgien RSC Anderlecht	4:0	Österreich FK Austria Wien
1978/79	St. Jakob-Stadion	Basel	Spanien FC Barcelona	4:3 n.V.	Deutschland Fortuna Düsseldorf
1979/80	Heysel-Stadion	Brüssel	Spanien FC Valencia	0:0 n.V. 5:4 i.E.	England FC Arsenal
1980/81	Rheinstadion	Düsseldorf	Sowjetunion Dinamo Tiflis	2:1	DDR FC Carl Zeiss Jena
1981/82	Camp Nou	Barcelona	Spanien FC Barcelona	2:1	Belgien Standard Lüttich
1982/83	Ullevi	Göteborg	Schottland FC Aberdeen	2:1	Spanien Real Madrid
1983/84	St. Jakob-Stadion	Basel	Italien Juventus Turin	2:1	Portugal FC Porto
1984/85	De Kuip	Rotterdam	England FC Everton	3:1	Österreich SK Rapid Wien
1985/86	Stade Gerland	Lyon	Sowjetunion Dynamo Kiew	3:0	Spanien Atlético Madrid
1986/87	Olympiastadion	Athen	Niederlande Ajax Amsterdam	1:0	DDR 1. FC Lokomotive Leipzig
1987/88	Stade de la Meinau	Straßburg	Belgien KV Mechelen	1:0	Niederlande Ajax Amsterdam
1988/89	Stadion Wankdorf	Bern	Spanien FC Barcelona	2:0	Italien Sampdoria Genua
1989/90	Ullevi	Göteborg	Italien Sampdoria Genua	2:0 n.V.	Belgien RSC Anderlecht
1990/91	De Kuip	Rotterdam	England Manchester United	2:1	Spanien FC Barcelona
1991/92	Estádio da Luz	Lissabon	Deutschland Werder Bremen	2:0	Frankreich AS Monaco
1992/93	Wembley-Stadion	London	Italien AC Parma	3:1	Belgien Royal Antwerpen
1993/94	Parken	Kopenhagen	England FC Arsenal	1:0	Italien AC Parma
1994/95	Prinzenpark	Paris	Spanien Real Saragossa	2:1 n.V.	England FC Arsenal
1995/96	König-Baudouin-Stadion	Brüssel	Frankreich Paris Saint-Germain	1:0	Österreich SK Rapid Wien
1996/97	De Kuip	Rotterdam	Spanien FC Barcelona	1:0	Frankreich Paris Saint-Germain
1997/98	Råsundastadion	Stockholm	England FC Chelsea	1:0	Deutschland VfB Stuttgart
1998/99	Villa Park	Birmingham	Italien Lazio Rom	2:1	Spanien RCD Mallorca
