1992/93	Olympiastadion	München	Frankreich Olympique Marseille	1:0	Italien AC Mailand
1993/94	Olympiastadion	Athen	Italien AC Mailand	4:0	Spanien FC Barcelona
1994/95	Ernst-Happel-Stadion	Wien	Niederlande Ajax Amsterdam	1:0	Italien AC Mailand
1995/96	Olympiastadion	Rom	Italien Juventus Turin	1:1 n.V. / 4:2 i.E.	Niederlande Ajax Amsterdam
1996/97	Olympiastadion	München	Deutschland Borussia Dortmund	3:1	Italien Juventus Turin
1997/98	Amsterdam Arena	Amsterdam	Spanien Real Madrid	1:0	Italien Juventus Turin
1998/99	Camp Nou	Barcelona	England Manchester United	2:1	Deutschland FC Bayern München
1999/00	Stade de France	Saint-Denis	Spanien Real Madrid	3:0	Spanien FC Valencia
2000/01	Giuseppe-Meazza-Stadion	Mailand	Deutschland FC Bayern München	1:1 n.V. / 5:4 i.E.	Spanien FC Valencia
2001/02	Hampden Park	Glasgow	Spanien Real Madrid	2:1	Deutschland Bayer 04 Leverkusen
2002/03	Old Trafford	Manchester	Italien AC Mailand	0:0 n.V. / 3:2 i.E.	Italien Juventus Turin
2003/04	Arena Auf Schalke	Gelsenkirchen	Portugal FC Porto	3:0	Frankreich AS Monaco
2004/05	Atatürk-Olympiastadion	Istanbul	England FC Liverpool	3:3 n.V. / 3:2 i.E.	Italien AC Mailand
2005/06	Stade de France	Saint-Denis	Spanien FC Barcelona	2:1	England FC Arsenal
2006/07	Olympiastadion	Athen	Italien AC Mailand	2:1	England FC Liverpool
2007/08	Olympiastadion Luschniki	Moskau	England Manchester United	1:1 n.V. / 6:5 i.E.	England FC Chelsea
2008/09	Olympiastadion	Rom	Spanien FC Barcelona	2:0	England Manchester United
2009/10	Estadio Santiago Bernabéu	Madrid	Italien Inter Mailand	2:0	Deutschland FC Bayern München
2010/11	Wembley-Stadion	London	Spanien FC Barcelona	3:1	England Manchester United
2011/12	Allianz Arena	München	England FC Chelsea	1:1 n.V. / 4:3 i.E.	Deutschland FC Bayern München
2012/13	Wembley-Stadion	London	Deutschland FC Bayern München	2:1	Deutschland Borussia Dortmund
2013/14	Estádio da Luz	Lissabon	Spanien Real Madrid	4:1 n.V.	Spanien Atlético Madrid
2014/15	Olympiastadion	Berlin	Spanien FC Barcelona	3:1	Italien Juventus Turin
2015/16	Giuseppe-Meazza-Stadion	Mailand	Spanien Real Madrid	1:1 n.V. / 5:3 i.E.	Spanien Atlético Madrid
2016/17	Millennium Stadium	Cardiff	Spanien Real Madrid	4:1	Italien Juventus Turin
2017/18	Olympiastadion	Kiew	Spanien Real Madrid	3:1	England FC Liverpool
2018/19	Estadio Metropolitano	Madrid	England FC Liverpool	2:0	England Tottenham Hotspur
