2009/10	Volksparkstadion	Hamburg	Spanien Atlético Madrid	2:1 n.V.	England FC Fulham
2010/11	Aviva Stadium	Dublin	Portugal FC Porto	1:0	Portugal Sporting Braga
2011/12	Arena Națională	Bukarest	Spanien Atlético Madrid	3:0	Spanien Athletic Bilbao
2012/13	Amsterdam Arena	Amsterdam	England FC Chelsea	2:1	Portugal Benfica Lissabon
2013/14	Juventus Stadium	Turin	Spanien FC Sevilla	0:0 n.V. / 4:2 i.E.	Portugal Benfica Lissabon
2014/15	Nationalstadion	Warschau	Spanien FC Sevilla	3:2	Ukraine Dnipro Dnipropetrowsk
2015/16	St. Jakob-Park	Basel	Spanien FC Sevilla	3:1	England FC Liverpool
2016/17	Friends Arena	Solna	England Manchester United	2:0	Niederlande Ajax Amsterdam
2017/18	Parc Olympique Lyonnais	Lyon	Spanien Atlético Madrid	3:0	Frankreich Olympique Marseille
2018/19	Nationalstadion Baku	Baku	England FC Chelsea	4:1	England FC Arsenal
