1971/72	Molineux Stadium / White Hart Lane	Wolverhampton / London	England Tottenham Hotspur	2:1 / 1:1	England Wolverhampton Wanderers
1972/73	Anfield / Bökelbergstadion	Liverpool / Mönchengladbach	England FC Liverpool	3:0 / 0:2	Deutschland Borussia Mönchengladbach
1973/74	White Hart Lane / De Kuip	London / Rotterdam	Niederlande Feyenoord Rotterdam	2:2 / 2:0	England Tottenham Hotspur
1974/75	Rheinstadion / Stadion Het Diekman	Düsseldorf / Enschede	Deutschland Borussia Mönchengladbach	0:0 / 5:1	Niederlande FC Twente Enschede
1975/76	Anfield / Olympiastadion	Liverpool / Brügge	England FC Liverpool	3:2 / 1:1	Belgien FC Brügge
1976/77	Stadio Comunale / San Mamés	Turin / Bilbao	Italien Juventus Turin	1:0 / 1:2	Spanien Athletic Bilbao
1977/78	Stade Furiani / Philips Stadion	Bastia / Eindhoven	Niederlande PSV Eindhoven	0:0 / 3:0	Frankreich SEC Bastia
1978/79	Stadion Roter Stern / Rheinstadion	Belgrad / Düsseldorf	Deutschland Borussia Mönchengladbach	1:1 / 1:0	Jugoslawien Roter Stern Belgrad
1979/80	Bökelbergstadion / Waldstadion	Mönchengladbach / Frankfurt am Main	Deutschland Eintracht Frankfurt	2:3 / 1:0	Deutschland Borussia Mönchengladbach
1980/81	Portman Road / Olympiastadion	Ipswich / Amsterdam	England Ipswich Town	3:0 / 2:4	Niederlande AZ Alkmaar
1981/82	Ullevi / Volksparkstadion	Göteborg / Hamburg	Schweden IFK Göteborg	1:0 / 3:0	Deutschland Hamburger SV
1982/83	Heysel-Stadion / Estádio da Luz	Brüssel / Lissabon	Belgien RSC Anderlecht	1:0 / 1:1	Portugal Benfica Lissabon
1983/84	Vanden-Stock-Stadion / White Hart Lane	Brüssel / London	England Tottenham Hotspur	1:1 / 1:1 n.V. (4:3 i.E.)	Belgien RSC Anderlecht
1984/85	Sóstói-Stadion / Estadio Santiago Bernabéu	Székesfehérvár / Madrid	Spanien Real Madrid	3:0 / 0:1	Ungarn Videoton Székesfehérvár
1985/86	Estadio Santiago Bernabéu / Olympiastadion	Madrid / Berlin	Spanien Real Madrid	5:1 / 0:2	Deutschland 1. FC Köln
1986/87	Ullevi / Tannadice Park	Göteborg / Dundee	Schweden IFK Göteborg	1:0 / 1:1	Schottland Dundee United
1987/88	Estadi Sarrià / Ulrich-Haberland-Stadion	Barcelona / Leverkusen	Deutschland Bayer 04 Leverkusen	0:3 / 3:0 n.V. (3:2 i.E.)	Spanien Espanyol Barcelona
1988/89	Stadio San Paolo / Neckarstadion	Neapel / Stuttgart	Italien SSC Neapel	2:1 / 3:3	Deutschland VfB Stuttgart
1989/90	Stadio Comunale / Stadio Partenio-Adriano Lombardi	Turin / Avellino	Italien Juventus Turin	3:1 / 0:0	Italien AC Florenz
1990/91	Giuseppe-Meazza-Stadion / Olympiastadion Rom	Mailand / Rom	Italien Inter Mailand	2:0 / 0:1	Italien AS Rom
1991/92	Stadio delle Alpi / Olympiastadion	Turin / Amsterdam	Niederlande Ajax Amsterdam	2:2 / 0:0	Italien AC Turin
1992/93	Westfalenstadion / Stadio delle Alpi	Dortmund / Turin	Italien Juventus Turin	3:1 / 3:0	Deutschland Borussia Dortmund
1993/94	Ernst-Happel-Stadion / Giuseppe-Meazza-Stadion	Wien / Mailand	Italien Inter Mailand	1:0 / 1:0	Österreich SV Austria Salzburg
1994/95	Stadio Ennio Tardini / Giuseppe-Meazza-Stadion	Parma / Mailand	Italien AC Parma	1:0 / 1:1	Italien Juventus Turin
1995/96	Olympiastadion / Parc Lescure	München / Bordeaux	Deutschland FC Bayern München	2:0 / 3:1	Frankreich Girondins Bordeaux
1996/97	Parkstadion / Giuseppe-Meazza-Stadion	Gelsenkirchen / Mailand	Deutschland FC Schalke 04	1:0 / 0:1 n.V. (4:1 i.E.)	Italien Inter Mailand
1997/98	Prinzenpark	Paris	Italien Inter Mailand	3:0	Italien Lazio Rom
1998/99	Olympiastadion Luschniki	Moskau	Italien AC Parma	3:0	Frankreich Olympique Marseille
1999/00	Parken	Kopenhagen	Türkei Galatasaray Istanbul	0:0 n.V. / 4:1 i.E.	England FC Arsenal
2000/01	Westfalenstadion	Dortmund	England FC Liverpool	5:4 n.GG	Spanien Deportivo Alavés
2001/02	De Kuip	Rotterdam	Niederlande Feyenoord Rotterdam	3:2	Deutschland Borussia Dortmund
2002/03	Olympiastadion Sevilla	Sevilla	Portugal FC Porto	3:2 n.V.	Schottland Celtic Glasgow
2003/04	Ullevi	Göteborg	Spanien FC Valencia	2:0	Frankreich Olympique Marseille
2004/05	Estadio José Alvalade XXI	Lissabon	Russland ZSKA Moskau	3:1	Portugal Sporting Lissabon
2005/06	Philips Stadion	Eindhoven	Spanien FC Sevilla	4:0	England FC Middlesbrough
2006/07	Hampden Park	Glasgow	Spanien FC Sevilla	2:2 n.V. / 3:1 i.E.	Spanien Espanyol Barcelona
2007/08	City of Manchester Stadium	Manchester	Russland Zenit St. Petersburg	2:0	Schottland Glasgow Rangers
2008/09	Şükrü Saracoğlu Stadı	Istanbul	Ukraine Schachtar Donezk	2:1 n.V.	Deutschland Werder Bremen
